"RK","PLAYER","TEAM","POS","OFF RTG","OFF RK","DEF RTG","DEF RK","TOT RTG","TOT RK"
"538","Bruce Brown","NOP","PG","-2.0","502","-0.6","430","-2.6","532"
"539","James Johnson","IND","PF","-2.8","560","0.1","186","-2.6","532"
"540","Markieff Morris","LAL","PF","-2.2","530","-0.4","357","-2.7","540"
"541","Pete Nance","MIL","PF","-2.0","502","-0.7","460","-2.7","540"
"542","Tristan Thompson","CLE","C","-2.9","564","0.2","173","-2.7","540"
"543","Julian Strawther","DEN","SG","-1.5","418","-1.2","533","-2.7","540"
"544","Isaiah Collier","UTA","PG","-1.5","418","-1.2","533","-2.7","540"
"545","Kyle Kuzma","MIL","PF","-1.9","488","-0.8","482","-2.7","540"
"546","Jalen Hood-Schifino","PHI","SG","-1.8","477","-0.9","499","-2.7","540"
"547","D.J. Carton","TOR","SG","-2.1","517","-0.7","460","-2.7","540"
"548","Yves Missi","NOP","C","-1.7","459","-1.0","515","-2.8","548"
"549","Ariel Hukporti","NYK","C","-2.8","560","0.1","186","-2.8","548"
"550","MarJon Beauchamp","NYK","SF","-2.2","530","-0.6","430","-2.8","548"
"551","Maxwell Lewis","BKN","SF","-2.2","530","-0.6","430","-2.8","548"
"552","Jeff Green","HOU","PF","-1.7","459","-1.1","527","-2.8","548"
"553","DaQuan Jeffries","CHA","SG","-2.2","530","-0.7","460","-2.9","553"
"554","Bryce McGowens","POR","SG","-2.2","530","-0.7","460","-2.9","553"
"555","Matt Ryan","NYK","SF","-2.0","502","-1.0","515","-2.9","553"
"556","JT Thor","WAS","PF","-2.6","554","-0.3","326","-2.9","553"
"557","Taj Gibson","CHA","C","-3.4","569","0.4","138","-3.0","557"
"558","Rayan Rupert","POR","SG","-2.5","550","-0.5","398","-3.0","557"
"559","Tidjane Salaun","CHA","PF","-2.7","556","-0.3","326","-3.0","557"
"560","Bilal Coulibaly","WAS","SF","-2.3","540","-0.7","460","-3.0","557"
"561","Trey Jemison","LAL","C","-3.0","565","-0.1","246","-3.1","561"
"562","Vasilije Micic","PHX","PG","-2.1","517","-1.0","515","-3.1","561"
"563","Jordan Hawkins","NOP","SG","-1.3","368","-1.8","562","-3.1","561"
"564","Malaki Branham","SAS","SG","-1.7","459","-1.6","556","-3.3","564"
"565","P.J. Tucker","NYK","SF","-3.3","567","0.0","210","-3.4","565"
"566","Carlton Carrington","WAS","PG","-2.0","502","-1.4","548","-3.4","565"
"567","Jalen McDaniels","WAS","SF","-2.8","560","-0.6","430","-3.4","565"
"568","Johnny Davis","MEM","SG","-3.4","569","-0.1","246","-3.5","568"
"569","Cody Williams","UTA","SG","-3.3","567","-1.0","515","-4.3","569"
"570","Nick Smith Jr.","CHA","SG","-2.3","540","-2.0","569","-4.3","569"
